PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Internal error!",,"Lỗi nội bộ!",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"The message ID %1 is too large. Verify that your Microsoft Dynamics 365 for Finance and Operations installation \r\nhas the correct message file (*.ktd).",,"ID thông báo %1 quá lớn. Hãy xác minh rằng cài đặt Microsoft Dynamics 365 for Finance and Operations của bạn \r\ncó tệp thông báo (*.ktd) chính xác.",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Microsoft Dynamics 365 for Finance and Operations Error",,"Lỗi Microsoft Dynamics 365 for Finance and Operations",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Command-line parameter %1 requires a value, e.g. %1=XXX.",,"Tham số dòng lệnh %1 yêu cầu giá trị, ví dụ: %1=XXX.",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Pending | Open in tray for pending tasks",,"Đang chờ | Mở trong khay dành cho tác vụ đang chờ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Menu | Open the user menu",,"Menu | Mở menu người dùng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Company | Change to the account of another company",,"Công ty | Thay đổi thành tài khoản của một công ty khác",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Project | Open the project window",,"Dự án | Mở cửa sổ dự án",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Options... | Change the application setup",,"Tùy chọn... | Thay đổi thiết lập ứng dụng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Application Object Tree | Open the Application Object Tree for Microsoft Dynamics 365 for Finance and Operations",,"Cây đối tượng ứng dụng | Mở Cây đối tượng ứng dụng dành cho Microsoft Dynamics 365 for Finance and Operations",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"View details | Open a form where the related record is selected",,"Xem chi tiết | Mở một biểu mẫu mà trong đó bản ghi liên quan được chọn",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"View details Report | Open a report where the related record is shown",,"Xem báo cáo chi tiết | Mở một báo cáo mà trong đó bản ghi liên quan được hiển thị",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"OK | Accept changes, and exit the window",,"OK | Chấp nhận thay đổi và thoát cửa sổ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Cancel | Cancel changes",,"Hủy | Hủy thay đổi",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Help | Search for information in the help system",,"Trợ giúp | Tìm kiếm thông tin trong hệ thống trợ giúp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Apply | Apply changes",,"Áp dụng | Áp dụng thay đổi",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Close | Close the active window",,"Đóng | Đóng cửa sổ hiện hoạt",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Save | Save contents",,"Lưu | Lưu nội dung",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Save all | Save all corrected application objects",,"Lưu tất cả | Lưu tất cả đối tượng ứng dụng đã chỉnh sửa",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Save for default | Save user setup for default",,"Lưu cho cài đặt mặc định | Lưu thiết lập người dùng cho cài đặt mặc định",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Printer setup... | Printer setup",,"Thiết lập máy in... | Thiết lập máy in",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Print preview | Show what the printout will look like",,"Xem trước bản in | Hiển thị hình thức bản in",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Send... | Send the printout as mail",,"Gửi... | Gửi bản in dưới dạng thư",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Page setup | Set up the page",,"Thiết lập trang | Thiết lập trang",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Company | Create a new company",,"Công ty | Tạo công ty mới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"What's this? | What's this help",,"Đây là gì? | Trợ giúp giải thích",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Virtual company | Create a new virtual company",,"Công ty ảo | Tạo công ty ảo mới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Customize...| Customize the toolbar",,"Tùy chỉnh...| Tùy chỉnh thanh công cụ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Shift+Enter | Previous control",,"Shift+Enter | Điều khiển trước",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Microsoft Dynamics 365 for Finance and Operations Community | Visit the official community site for Microsoft Dynamics 365 for Finance and Operations product engineers and implementers world wide",,"Cộng đồng Microsoft Dynamics 365 for Finance and Operations | Truy cập trang cộng đồng chính thức dành cho người triển khai và kỹ sư Microsoft Dynamics 365 for Finance and Operations trên toàn thế giới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Print... | Print the active application object",,"In... | In đối tượng ứng dụng hiện hoạt",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Exit | Exit Microsoft Dynamics 365 for Finance and Operations",,"Thoát | Thoát Microsoft Dynamics 365 for Finance and Operations",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Local menu | Activate the local menu from the menu bar",,"Menu cục bộ | Kích hoạt menu cục bộ từ thanh menu",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Enter | Enter key",,"Enter | Phím Enter",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Tab | Tabulation key",,"Tab | Phím tab",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Backward tab | Backward tabulation",,"Tab ngược | Tab ngược",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Microsoft Dynamics 365 for Finance and Operations Developer's Guide | Open the Help file with a guide to the application",,"Microsoft Dynamics 365 for Finance and Operations Hướng dẫn dành cho nhà phát triển | Mở tệp Trợ giúp với hướng dẫn về ứng dụng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Toggle | Toggle between",,"Chuyển đổi | Chuyển đổi giữa",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Insert | Toggle between the insert and the overwrite settings",,"Chèn | Chuyển đổi giữa thiết đặt chèn và ghi đè",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Open combo box | Open the drop-down list for a combo box",,"Mở hộp tổ hợp | Mở danh sách thả xuống cho một hộp tổ hợp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Close combo box | Close the drop-down list for a combo box",,"Đóng hộp tổ hợp | Đóng danh sách thả xuống cho một hộp tổ hợp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Right mouse button | Key to simulate right mouse button click",,"Nút chuột phải | Phím để mô phỏng bấm nút chuột phải",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Tile | Place windows next to / on top of one another",,"Tile | Đặt các cửa sổ cạnh nhau / lên trên nhau",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Cascade | Arrange windows in an overlapping manner",,"Xếp tầng | Sắp xếp các cửa sổ theo dạng chờm lấp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Restore | Restore current MDI window",,"Khôi phục | Khôi phục cửa sổ MDI hiện tại",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Arrange icons | Arrange icons at the bottom of the program window",,"Sắp xếp biểu tượng | Sắp xếp các biểu tượng ở cuối cửa sổ chương trình",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Close all | Close all windows",,"Đóng tất cả | Đóng tất cả cửa sổ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Field help | Display field value options",,"Trợ giúp về trường | Hiển thị tùy chọn giá trị trường",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Free cache | Free all data and indexes saved in the computer's storage system",,"Giải phóng bộ đệm ẩn | Giải phóng tất cả dữ liệu và chỉ mục đã lưu trong hệ thống lưu trữ của máy tính",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Undo | Undo the previous action",,"Hoàn tác | Hoàn tác hành động trước đó",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Cut | Cut the selection and put it on the clipboard",,"Cắt | Cắt phần lựa chọn và đặt vào bảng tạm",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Copy | Copy the selection and put it on the clipboard",,"Sao chép | Sao chép phần lựa chọn và đặt vào bảng tạm",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Paste | Insert clipboard contents",,"Dán | Chèn nội dung bảng tạm",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Duplicate | Duplicate the selection",,"Nhân đôi | Nhân đôi phần lựa chọn",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Redo | Redo the action which was just undone",,"Làm lại | Làm lại hành động vừa hoàn tác",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Script | Run a script",,"Mã lệnh | Chạy một mã lệnh",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Delete | Delete the selection or the next character",,"Xóa | Xóa phần lựa chọn hoặc ký tự tiếp theo",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Select area | Normal area selection",,"Chọn vùng | Chọn vùng thông thường",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"About Microsoft Dynamics 365 for Finance and Operations | Information about this version of Microsoft Dynamics 365 for Finance and Operations",,"Giới thiệu về Microsoft Dynamics 365 for Finance and Operations | Thông tin về phiên bản Microsoft Dynamics 365 for Finance and Operations này",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Select columns | Columns selection",,"Chọn cột | Lựa chọn cột",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Select lines | Lines selection",,"Chọn dòng | Lựa chọn dòng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Undo selection | Cancel selection",,"Hoàn tác lựa chọn | Hủy lựa chọn",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Select all | Select the entire document",,"Chọn tất cả | Chọn toàn bộ tài liệu",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Find... | Find the specified text",,"Tìm... | Tìm văn bản được chỉ định",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Find next | Repeat the last find",,"Tìm tiếp | Lặp lại tìm kiếm cuối cùng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Replace... | Replace a specific text with a new text",,"Thay thế... | Thay thế văn bản cụ thể bằng văn bản mới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Delete line | Delete current line",,"Xóa dòng | Xóa dòng hiện tại",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Delete to end of line | Delete from the cursor position to the end of the line",,"Xóa đến cuối dòng | Xóa từ vị trí con trỏ đến cuối dòng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Save selected text... | Save the selected text to a separate file",,"Lưu văn bản đã chọn... | Lưu văn bản đã chọn vào tệp riêng",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"New | Create a new record",,"Mới | Tạo bản ghi mới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Insert file... | Insert contents of separate file at cursor position",,"Chèn tệp... | Chèn nội dung của tệp riêng tại vị trí con trỏ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Up arrow | Move the cursor one line up",,"Mũi tên lên | Di chuyển con trỏ lên dòng trên",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Down arrow | Move the cursor one line down",,"Mũi tên xuống | Di chuyển con trỏ xuống dòng dưới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Left arrow | Move the cursor one character to the left",,"Mũi tên trái | Di chuyển con trỏ sang trái một ký tự",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Right arrow | Move the cursor one character to the right",,"Mũi tên phải | Di chuyển con trỏ sang phải một ký tự",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Previous page | Go to the previous page",,"Trang trước | Chuyển đến trang trước",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Next page | Go to the next page",,"Trang tiếp theo | Chuyển đến trang tiếp theo",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Start | Go to the top",,"Đầu | Chuyển lên đầu",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"End | Go to the bottom",,"CUỐI | Chuyển xuống cuối",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Top of page | Go to the top of this page",,"Đầu trang | Chuyển đến đầu trang",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"User menu | Create a new user menu",,"Menu người dùng | Tạo menu người dùng mới",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Bottom of page | Go to the bottom of this page",,"Cuối trang | Chuyển đến cuối trang",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Home | Go to the start of the line / page / file",,"Trang chủ | Chuyển đến đầu dòng / trang / tệp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"End | Go to the end of the line / page / file",,"Cuối | Chuyển đến cuối dòng / trang / tệp",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Previous word | Move the cursor one word to the left",,"Từ trước | Di chuyển con trỏ sang trái một từ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
"Next word | Move the cursor one word to the right",,"Từ tiếp theo | Di chuyển con trỏ sang phải một từ",,"Text",,"All",,"Microsoft Dynamics 365 for Finance and Operations, Business Edition",,""
