PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"L",,"L",,"Text",,"All",,"Office Online Group",,""
"English (South Africa)",,"Tiếng Anh (Nam Phi)",,"Text",,"All",,"Office Online Group",,""
"'Segoe UI','Segoe UI Web',Arial,Verdana,sans-serif",,"'Segoe UI','Segoe UI Web',Arial,Verdana,sans-serif",,"Text",,"All",,"Office Online Group",,""
"F",,"F",,"Text",,"All",,"Office Online Group",,""
"Last checked: {0} ",,"Kiểm tra lần cuối: {0} ",,"Text",,"All",,"Office Online Group",,""
"Ibibio (Nigeria)",,"Tiếng Ibibio (Ni-giê-ri-a)",,"Text",,"All",,"Office Online Group",,""
"SB",,"SB",,"Text",,"All",,"Office Online Group",,""
"Spanish (United States)",,"Tiếng Tây Ban Nha (Mỹ)",,"Text",,"All",,"Office Online Group",,""
"Install",,"Cài đặt",,"Text",,"All",,"Office Online Group",,""
"rice cracker",,"bánh quy gạo",,"Text",,"All",,"Office Online Group",,""
"person rowing boat",,"người chèo thuyền",,"Text",,"All",,"Office Online Group",,""
"panda face",,"mặt gấu trúc",,"Text",,"All",,"Office Online Group",,""
"unamused face",,"mặt buồn chán",,"Text",,"All",,"Office Online Group",,""
"KT",,"KC",,"Text",,"All",,"Office Online Group",,""
"C",,"C",,"Text",,"All",,"Office Online Group",,""
"left luggage",,"hành lý gửi",,"Text",,"All",,"Office Online Group",,""
"Embed Code",,"Mã Nhúng",,"Text",,"All",,"Office Online Group",,""
"Use shortcut keys",,"Sử dụng phím tắt",,"Text",,"All",,"Office Online Group",,""
"Exit",,"Thoát",,"Text",,"All",,"Office Online Group",,""
"sunrise over mountains",,"bình minh trên núi",,"Text",,"All",,"Office Online Group",,""
"crescent moon",,"trăng lưỡi liềm",,"Text",,"All",,"Office Online Group",,""
"camera",,"máy ảnh",,"Text",,"All",,"Office Online Group",,""
"H",,"T",,"Text",,"All",,"Office Online Group",,""
"Microsoft Office 2016 component",,"Cấu phần Microsoft Office 2016",,"Text",,"All",,"Office Online Group",,""
"left-facing fist",,"nắm đấm hướng phía trái",,"Text",,"All",,"Office Online Group",,""
"fork and knife",,"dĩa và dao",,"Text",,"All",,"Office Online Group",,""
"OK",,"OK",,"Text",,"All",,"Office Online Group",,""
"Arabic (Lebanon)",,"Tiếng Ả Rập (Li-băng)",,"Text",,"All",,"Office Online Group",,""
"Pictures from Bing",,"Ảnh từ Bing",,"Text",,"All",,"Office Online Group",,""
"We'll need to refresh the page to bring back the Single Line Ribbon. Your work will be saved.",,"Chúng tôi sẽ cần làm mới trang để quay lại Dải băng Một Dòng. Công việc của bạn sẽ được lưu.",,"Text",,"All",,"Office Online Group",,""
"sheep",,"con cừu",,"Text",,"All",,"Office Online Group",,""
"rolling on the floor laughing",,"cười lăn lộn",,"Text",,"All",,"Office Online Group",,""
"Punjabi",,"Tiếng Pun-jab",,"Text",,"All",,"Office Online Group",,""
"E",,"R",,"Text",,"All",,"Office Online Group",,""
"clockwise vertical arrows",,"mũi tên thẳng đứng theo chiều kim đồng hồ",,"Text",,"All",,"Office Online Group",,""
"smiling face with horns",,"mặt cười có sừng",,"Text",,"All",,"Office Online Group",,""
"face positive",,"mặt tích cực",,"Text",,"All",,"Office Online Group",,""
"persevering face",,"mặt kiên nhẫn",,"Text",,"All",,"Office Online Group",,""
"input Latin lowercase",,"chữ la-tinh đầu vào viết thường",,"Text",,"All",,"Office Online Group",,""
"artist palette",,"bảng màu",,"Text",,"All",,"Office Online Group",,""
"smiling face with open mouth & cold sweat",,"mặt cười với miệng há & toát mồ hôi",,"Text",,"All",,"Office Online Group",,""
"right-facing fist",,"nắm đấm hướng phía phải",,"Text",,"All",,"Office Online Group",,""
"light and video",,"ánh sáng & video",,"Text",,"All",,"Office Online Group",,""
"handbag",,"túi xách",,"Text",,"All",,"Office Online Group",,""
"Press Ctrl+Alt+Space when a dialog is open",,"Nhấn Ctrl+Alt+Phím cách khi hộp thoại mở",,"Text",,"All",,"Office Online Group",,""
"P",,"P",,"Text",,"All",,"Office Online Group",,""
"Arabic",,"Tiếng Ả Rập",,"Text",,"All",,"Office Online Group",,""
"twelve-thirty",,"mười hai giờ ba mươi phút",,"Text",,"All",,"Office Online Group",,""
"minibus",,"xe buýt nhỏ",,"Text",,"All",,"Office Online Group",,""
"closed mailbox with lowered flag",,"hộp thư đóng với cờ thấp",,"Text",,"All",,"Office Online Group",,""
"A",,"Y",,"Text",,"All",,"Office Online Group",,""
"Launch {richclientfull}.",,"Cho chạy {richclientfull}.",,"Text",,"All",,"Office Online Group",,""
"Discover Word designed for Android.",,"Khám phá Word được thiết kế dành cho Android.",,"Text",,"All",,"Office Online Group",,""
"skull",,"đầu lâu",,"Text",,"All",,"Office Online Group",,""
"woman",,"nữ",,"Text",,"All",,"Office Online Group",,""
"S",,"S",,"Text",,"All",,"Office Online Group",,""
"M",,"M",,"Text",,"All",,"Office Online Group",,""
"money-mouth face",,"mặt có miệng tiền",,"Text",,"All",,"Office Online Group",,""
"badminton",,"cầu lông",,"Text",,"All",,"Office Online Group",,""
"maple leaf",,"lá cây thích",,"Text",,"All",,"Office Online Group",,""
"V",,"E",,"Text",,"All",,"Office Online Group",,""
"Malay",,"Tiếng Mã Lai",,"Text",,"All",,"Office Online Group",,""
"Whiteboard",,"Bảng trắng",,"Text",,"All",,"Office Online Group",,""
"B",,"B",,"Text",,"All",,"Office Online Group",,""
"here",,"tại đây",,"Text",,"All",,"Office Online Group",,""
"G",,"I",,"Text",,"All",,"Office Online Group",,""
"turkey",,"gà tây",,"Text",,"All",,"Office Online Group",,""
"baby bottle",,"bình sữa",,"Text",,"All",,"Office Online Group",,""
"mrs. claus",,"bà già noel",,"Text",,"All",,"Office Online Group",,""
"two o'clock",,"hai giờ",,"Text",,"All",,"Office Online Group",,""
"Virgo",,"xử nữ",,"Text",,"All",,"Office Online Group",,""
"sheaf of rice",,"bó lúa",,"Text",,"All",,"Office Online Group",,""
"hot dog",,"xúc xích",,"Text",,"All",,"Office Online Group",,""
"ledger",,"sổ cái",,"Text",,"All",,"Office Online Group",,""
"Leo",,"sư tử",,"Text",,"All",,"Office Online Group",,""
"bookmark tabs",,"nhãn dấu trang",,"Text",,"All",,"Office Online Group",,""
"blowfish",,"cá nóc",,"Text",,"All",,"Office Online Group",,""
"Tigrigna (Ethiopia)",,"Tiếng Ti-grig-na (Ê-thi-ô-pi-a)",,"Text",,"All",,"Office Online Group",,""
"Save to {onedrive}",,"Lưu vào {onedrive}",,"Text",,"All",,"Office Online Group",,""
"Loading comments...",,"Đang tải chú thích...",,"Text",,"All",,"Office Online Group",,""
"D",,"D",,"Text",,"All",,"Office Online Group",,""
"Download and Install {richclientfull}",,"Tải về và Cài đặt {richclientfull}",,"Text",,"All",,"Office Online Group",,""
"Paste = {0} + V",,"Dán = {0} + V",,"Text",,"All",,"Office Online Group",,""
"English (Indonesia)",,"Tiếng Anh (In-đô-nêxi-a)",,"Text",,"All",,"Office Online Group",,""
"input numbers",,"số đầu vào",,"Text",,"All",,"Office Online Group",,""
"Arabic (Egypt)",,"Tiếng Ả Rập (Ai Cập)",,"Text",,"All",,"Office Online Group",,""
"2nd place medal",,"huy chương bạc",,"Text",,"All",,"Office Online Group",,""
"Enter a name for this copy:",,"Nhập tên cho bản sao này:",,"Text",,"All",,"Office Online Group",,""
"confounded face",,"mặt bực bội",,"Text",,"All",,"Office Online Group",,""
"bright button",,"nút sáng",,"Text",,"All",,"Office Online Group",,""
"family",,"gia đình",,"Text",,"All",,"Office Online Group",,""
"Sesotho sa Leboa",,"Tiếng Sotho Miền Bắc",,"Text",,"All",,"Office Online Group",,""
"{0} other people are here",,"{0} người khác cũng đang ở đây",,"Text",,"All",,"Office Online Group",,""
"Afrikaans",,"Tiếng Hà Lan ở Nam Phi",,"Text",,"All",,"Office Online Group",,""
"Checking Now ...",,"Đang Kiểm tra ...",,"Text",,"All",,"Office Online Group",,""
"Portuguese (Brazil)",,"Tiếng Bồ Đào Nha (Bra-xin)",,"Text",,"All",,"Office Online Group",,""
"I have Office",,"Tôi có Office",,"Text",,"All",,"Office Online Group",,""
"More Options",,"Xem thêm Tùy chọn",,"Text",,"All",,"Office Online Group",,""
"Viewing offline",,"Xem ngoại tuyến",,"Text",,"All",,"Office Online Group",,""
"tiger face",,"mặt hổ",,"Text",,"All",,"Office Online Group",,""
"waxing gibbous moon",,"trăng khuyết đầu tháng",,"Text",,"All",,"Office Online Group",,""
"thinking face",,"mặt suy nghĩ",,"Text",,"All",,"Office Online Group",,""
"wilted flower",,"hoa héo",,"Text",,"All",,"Office Online Group",,""
