PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Abbrechen",,"AppData",,"All",,"Bing",,""
"Today",,"Heute",,"AppData",,"All",,"Bing",,""
"There\'s something wrong. Try again later",,"Es ist ein Problem aufgetreten. Versuchen Sie es bitte später noch mal.",,"AppData",,"All",,"Bing",,""
"Background",,"Hintergrund",,"AppData",,"All",,"Bing",,""
"We\'re sorry but we can\'t open this image. Please try again or select other images.",,"Wir können dieses Bild leider nicht öffnen. Versuchen Sie es erneut oder wählen Sie andere Bilder.",,"AppData",,"All",,"Bing",,""
"There are no directions from point A to point B. Because they\'re the same location. Try changing one of them.",,"Es gibt keine Adressen von Punkt A zu Punkt B, da sie denselben Standort aufweisen. Versuchen Sie, einen zu ändern.",,"AppData",,"All",,"Bing",,""
"Please write down any suggestion that you think we should know.",,"Notieren Sie bitte jeden Vorschlag, der für uns wichtig sein könnte.",,"AppData",,"All",,"Bing",,""
"Delete cached images and files",,"Zwischengespeicherte Bilder und Dateien löschen",,"AppData",,"All",,"Bing",,""
"Sign in with another account?",,"Mit einem anderen Konto anmelden?",,"AppData",,"All",,"Bing",,""
"Hi, there",,"Hallo",,"AppData",,"All",,"Bing",,""
