PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"vi-vn",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Menu > Microsoft Teams > Hiển thị tất cả",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Bạn chỉ cần đăng nhập, sau đó chúng tôi sẽ đưa bạn đến cuộc họp của bạn.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Thoát",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Khởi động lại",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Rất tiếc! Đã xảy ra sự cố...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Bạn gặp sự cố? Hãy cho chúng tôi biết về sự cố đó.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Tải gần đây nhất",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Phiên bản Microsoft Teams bạn đang sử dụng không được hỗ trợ",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Bạn đã có bản cập nhật mới nhất. Hãy tận hưởng!",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Có vẻ như thiếu vài tệp; hãy cài đặt lại Microsoft Teams để thử lại.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Không thể hoàn tất quá trình cài đặt",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Hãy kiên nhẫn! Chúng tôi đang giúp bạn kết nối.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Không xác thực được",,"Text",,"All",,"Microsoft Teams for Mac",,""
