PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"This is the embed code for this {doctype}. To embed it yourself, copy this text and paste it in your site or blog",,"Dies ist der Einbettungscode für dieses Dokument. Wenn Sie die Einbindung selbst vornehmen möchten, kopieren Sie diesen Text, und fügen Sie ihn dann in Ihre Website oder Ihren Blog ein",,"Text",,"All",,"Office Online Group",,""
"Temporarily unavailable",,"Vorübergehend nicht verfügbar.",,"Text",,"All",,"Office Online Group",,""
"ox",,"Ochse",,"Text",,"All",,"Office Online Group",,""
"objects",,"Objekte",,"Text",,"All",,"Office Online Group",,""
""Japanese ""vacancy"" button"",,""Schriftzeichen für ""leer"""",,"Text",,"All",,"Office Online Group",,""
"P",,"P",,"Text",,"All",,"Office Online Group",,""
"face with stuck-out tongue & closed eyes",,"Smiley mit herausgestreckter Zunge und zusammengekniffenen Augen",,"Text",,"All",,"Office Online Group",,""
"grapes",,"Trauben",,"Text",,"All",,"Office Online Group",,""
"hotel",,"Hotel",,"Text",,"All",,"Office Online Group",,""
"flag",,"Flagge",,"Text",,"All",,"Office Online Group",,""
"W",,"F",,"Text",,"All",,"Office Online Group",,""
"F",,"ON",,"Text",,"All",,"Office Online Group",,""
"suspension railway",,"Schwebebahn",,"Text",,"All",,"Office Online Group",,""
"nauseated face",,"An Übelkeit leiden",,"Text",,"All",,"Office Online Group",,""
"Learn more",,"Weitere Informationen",,"Text",,"All",,"Office Online Group",,""
"smiling face with sunglasses",,"Smiley mit Sonnenbrille",,"Text",,"All",,"Office Online Group",,""
"nine o'clock",,"Ziffernblatt 9:00 Uhr",,"Text",,"All",,"Office Online Group",,""
"no smoking",,"Rauchverbot",,"Text",,"All",,"Office Online Group",,""
"Japanese post office",,"Japanisches Postgebäude",,"Text",,"All",,"Office Online Group",,""
"travel and places",,"Reisen und Orte",,"Text",,"All",,"Office Online Group",,""
"E",,"U",,"Text",,"All",,"Office Online Group",,""
"KT",,"W",,"Text",,"All",,"Office Online Group",,""
"Embed",,"Einbetten",,"Text",,"All",,"Office Online Group",,""
"bookmark tabs",,"Pagemarker",,"Text",,"All",,"Office Online Group",,""
"eyes",,"Augen",,"Text",,"All",,"Office Online Group",,""
"heart with arrow",,"Herz mit Pfeil",,"Text",,"All",,"Office Online Group",,""
"Could you please try that again?",,"Können Sie das bitte nochmal versuchen?",,"Text",,"All",,"Office Online Group",,""
"V",,"F",,"Text",,"All",,"Office Online Group",,""
"Chat with others who are editing the document right now.",,"Chatten Sie mit anderen, die das Dokument gerade bearbeiten.",,"Text",,"All",,"Office Online Group",,""
"P",,"U",,"Text",,"All",,"Office Online Group",,""
"poodle",,"Pudel",,"Text",,"All",,"Office Online Group",,""
"cocktail glass",,"Cocktailglas",,"Text",,"All",,"Office Online Group",,""
"J",,"I",,"Text",,"All",,"Office Online Group",,""
"Refresh",,"Aktualisieren",,"Text",,"All",,"Office Online Group",,""
"S",,"S",,"Text",,"All",,"Office Online Group",,""
"fast down button",,"Doppelpfeile nach unten",,"Text",,"All",,"Office Online Group",,""
"chequered flag",,"Zielflagge",,"Text",,"All",,"Office Online Group",,""
"mountain railway",,"Bergbahn",,"Text",,"All",,"Office Online Group",,""
"expressionless face",,"Ausdrucksloser Smiley",,"Text",,"All",,"Office Online Group",,""
"Slovenian",,"Slowenisch",,"Text",,"All",,"Office Online Group",,""
