PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Social Insights for Dynamics 365.",,"Hiểu biết Xã hội cho Dynamics 365.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Dynamics 365",,"Dynamics 365",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Social Insights",,"Hiểu biết Xã hội",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Shows the dialog for configuring Social Insights in Dynamics 365",,"Hiển thị hộp thoại để đặt cấu hình Hiểu biết Xã hội trong Dynamics 365",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Social Insights Configuration",,"Đặt cấu hình Hiểu biết Xã hội",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Apply",,"Áp dụng",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Configure Social Insights",,"Đặt cấu hình Hiểu biết Xã hội",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Cancel",,"Hủy",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Unable to connect to Social Engagement. Try again or if the problem persists, contact your system administrator.",,"Không thể kết nối với Social Engagement. Vui lòng thử lại. Nếu sự cố này vẫn tiếp diễn, hãy liên hệ với quản trị viên hệ thống của bạn.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Social Insights isn't configured. Select the Edit option from the menu above.",,"Chưa đặt cấu hình Hiểu biết Xã hội. Chọn tùy chọn Sửa từ menu ở trên.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Create new topic on Microsoft Social Engagement",,"Tạo chủ đề mới trên Microsoft Social Engagement",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Create new topic",,"Tạo chủ đề mới",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"on Microsoft Social Engagement",,"trên Microsoft Social Engagement",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Edit",,"Sửa",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Something went wrong. Try again or if the problem persists, contact your system administrator.",,"Đã xảy ra lỗi. Vui lòng thử lại. Nếu sự cố vẫn tiếp diễn, hãy liên hệ với quản trị viên hệ thống của bạn.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Social Insights is not supported for this version of Dynamics 365.",,"Không hỗ trợ Hiểu biết Xã hội đối với phiên bản Dynamics 365 này.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Configure Social Engagement in your Dynamics 365 settings or contact your system administrator.",,"Đặt cấu hình Social Engagement trong thiết đặt Dynamics 365 hoặc liên hệ với quản trị viên hệ thống.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Remove data",,"Loại bỏ dữ liệu",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"You must be connected to the internet to see this data.",,"Bạn phải kết nối Internet để xem dữ liệu này.",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"All Categories",,"Tất cả Các thể loại",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Choose topic or category",,"Chọn chủ đề hoặc thể loại",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Add",,"Thêm",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Delete",,"Xóa",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"No widgets added yet",,"Chưa thêm tiện ích nào",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"No widgets left",,"Không còn tiện ích nào",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
"Visualization",,"Trực quan hóa",,"Text",,"All",,"Dynamics - CRM - Social Engagement",,""
